station,timestamp:utc,timestamp:local,timestamp:localstring,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,alignment,milepost,inService,essReferenceHeight,essPressureHeight,essWindSensorHeight,essNumTemperatureSensors,numEssPavementSensors,numEssSubSurfaceSensors,alert,alertAppliesTo,qc_pass
id,sec,sec,time,none,none,none,deg,deg,ft,none,none,none,none,none,none,mi,none,ft,ft,ft,none,none,none,none,none,none
string,epoch time,epoch time,time string,int,text,text,float,float,float,text,text,text,text,text,text,float,bool,float,float,float,int,int,int,bool,text,bool
D10-45,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : I-205 Paradise Cut,Tracy,-121.3286,37.76956,13,South,San Joaquin,I-5,,R,,458.16,true,,,,1,Not Reported,Not Reported,,,
D10-46,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-152 : SR-156,Hollister,-121.3809,36.9772,252,East,Santa Clara,SR-152,,R,,33.37,true,,,,1,Not Reported,Not Reported,,,
D10-47,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : SR-120,Manteca,-121.18401,37.77865,39,North,San Joaquin,SR-99,,,,241.14,true,,,,1,Not Reported,Not Reported,,,
D10-48,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-152 : Dinosaur Point,Hollister,-121.21588,37.06703,1371,East,Santa Clara,SR-152,,R,,45.82,true,,,,1,Not Reported,Not Reported,,,
D10-49,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : South of Eight Mile Rd,Stockton,-121.36868,38.04637,6,North,San Joaquin,I-5,,,,479.77,true,,,,1,Not Reported,Not Reported,,,
D10-50,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : North of SR-12,Lodi,-121.39961,38.12058,6,North,San Joaquin,I-5,,,,485.19,true,,,,1,Not Reported,Not Reported,,,
D10-51,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-580 : I-205,Tracy,-121.5717,37.74163,301,East,Alameda,I-580,,L,L,16.75,true,,,,1,Not Reported,Not Reported,,,
D10-52,1770831000,1770802200,2026/02/11-09:30 -0800,10,I-5 : Del Puerto Canyon,Patterson,-121.18361,37.4674,265,North,Stanislaus,I-5,,,R,433.474,true,,,,1,Not Reported,Not Reported,,,
D10-53,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : Briggsmore,Modesto,-121.03384,37.66776,68,North,Stanislaus,SR-99,,M,,229.8,true,,,,1,Not Reported,Not Reported,,,
D10-54,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 : North of Jack Tone Rd,Ripon,-121.15468,37.75947,64.7,North,San Joaquin,SR-99,,,,239.029,true,,,,1,Not Reported,Not Reported,,,
D10-55,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-132: W/O SR 33 Vernalis,S. Koster Rd,-121.3138943,37.63801218,0,East,San Joaquin,SR-132,,,,5.611,true,,,,1,Not Reported,Not Reported,,,
D10-56,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99: North of Shanks Road,Frontage Rd,-120.789138,37.442518,120,South,Merced,SR-99,,,,208.457,true,,,,1,Not Reported,Not Reported,,,
D10-57,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99: North of Winton,Pacific,-120.738002,37.391309,120,South,Merced,SR-99,,,,203.913,true,,,,1,Not Reported,Not Reported,,,
D10-58,1770831000,1770802200,2026/02/11-09:30 -0800,10,SR-99 Applegate Rd,Atwater,-120.603966,37.341410,154,North,Merced,SR-99,,,R,195.624,true,,,,0,Not Reported,Not Reported,,,
D10-59,1770831000,1770802200,2026/02/11-09:30 -0800,10,North Dakota Ave,Modesto,-121.067038,37.645714,68,East,Stanislaus,SR-132,,R,,19.307,true,,,,1,Not Reported,Not Reported,,,
D10-60,1770830400,1770801600,2026/02/11-09:20 -0800,10,SR-132: W/O SR 99 ,Modesto,-121.0197,37.64469,88,East,Stanislaus,SR-132,,R,L,228.000,true,,,,1,Not Reported,Not Reported,,,
D10-61,1770831000,1770802200,2026/02/11-09:30 -0800,10,004/005 Interchange,Stockton,-121.300546,37.949056,29,East,San Joaquin,SR-4,,R,,471.499,true,,,,1,Not Reported,Not Reported,,,
